# interfaceEnergyFluxes 
# Time          	energyFlux_Liquid	energyFlux_Gas  
1.200480192e-07 	1.96869496e-05	-3.40469542e-20
2.64174934e-07  	1.97549977e-05	-2.69840333e-20
4.370273172e-07 	1.97490680e-05	-1.12031258e-20
6.444501769e-07 	1.97277204e-05	2.64797532e-20
8.9346158e-07   	1.96922055e-05	1.88202893e-20
1.19197525e-06  	1.94789798e-05	1.54894173e-20
1.542358316e-06 	1.95378459e-05	2.53821896e-20
1.944226242e-06 	1.94872522e-05	5.30546472e-20
2.398188157e-06 	1.94322163e-05	5.91939714e-20
2.903897027e-06 	1.93712916e-05	6.07109712e-20
3.42036566e-06  	1.93089121e-05	2.88775589e-20
3.9539548e-06   	1.92156185e-05	5.81685344e-20
4.481680323e-06 	1.91821551e-05	-1.50001394e-20
5.003638354e-06 	1.91657132e-05	-6.87677459e-20
5.528480131e-06 	1.91371653e-05	-8.01696348e-21
6.053321908e-06 	1.91081627e-05	2.21125090e-20
6.578163685e-06 	1.90839899e-05	1.36248836e-20
7.10597067e-06  	1.90624876e-05	-1.79553327e-20
7.633777655e-06 	1.90427673e-05	-5.10935647e-20
8.161584639e-06 	1.90207636e-05	3.18690032e-20
8.701810612e-06 	1.89914814e-05	2.05260936e-20
9.251799705e-06 	1.89889600e-05	5.09173140e-20
9.782490935e-06 	1.90046866e-05	6.49189003e-20
1.031318216e-05 	1.90126500e-05	-3.29057399e-20
1.084387339e-05 	1.90283432e-05	2.76437256e-21
1.137456462e-05 	1.90417910e-05	2.46414950e-20
1.190525585e-05 	1.90548848e-05	1.94195122e-20
1.243594708e-05 	1.90690965e-05	3.58916577e-20
1.296663831e-05 	1.90885011e-05	9.12538334e-20
1.349411323e-05 	1.91096677e-05	8.00601680e-20
1.402158815e-05 	1.91210753e-05	9.36924215e-20
1.454906307e-05 	1.91426402e-05	3.44184837e-20
1.507653799e-05 	1.91675889e-05	-1.26071227e-20
1.561745176e-05 	1.91865171e-05	-5.55359841e-21
1.614484269e-05 	1.92124530e-05	7.21288744e-20
1.667223361e-05 	1.92496634e-05	-1.81566798e-20
1.719630762e-05 	1.92833078e-05	6.58181297e-21
1.772038162e-05 	1.93155248e-05	4.58719917e-20
1.824445562e-05 	1.93489646e-05	1.22979025e-19
1.876852962e-05 	1.93744064e-05	1.10210998e-19
1.931370728e-05 	1.94028559e-05	9.42163735e-20
1.985522602e-05 	1.94257970e-05	3.28576276e-20
2.039311041e-05 	1.94765574e-05	9.34059298e-20
2.09309948e-05  	1.95061166e-05	1.57752672e-19
2.146524483e-05 	1.95436047e-05	9.92960626e-20
2.199949487e-05 	1.95822643e-05	9.22293968e-20
2.25337449e-05  	1.96123787e-05	9.30344440e-20
2.307546697e-05 	1.96451973e-05	1.12994689e-19
2.362103103e-05 	1.96675888e-05	5.86366453e-20
2.41826411e-05  	1.96835989e-05	1.37496083e-20
2.472808972e-05 	1.97441578e-05	8.18919632e-20
2.527353835e-05 	1.98124687e-05	1.56883970e-19
2.581503445e-05 	1.98747523e-05	7.28805955e-20
2.635653055e-05 	1.99397028e-05	7.34576512e-20
2.689407412e-05 	1.99931799e-05	-8.08058950e-21
2.743161769e-05 	2.00429293e-05	1.75952178e-20
2.796916126e-05 	2.01009698e-05	3.96346118e-20
2.850272303e-05 	2.01519787e-05	-3.20147167e-20
2.90362848e-05  	2.02056521e-05	-3.29217836e-20
2.956984657e-05 	2.02485425e-05	3.01558846e-20
3.00993966e-05  	2.02987055e-05	7.95494917e-20
3.062894662e-05 	2.03519431e-05	1.10551353e-19
3.116670672e-05 	2.04020548e-05	1.89707625e-19
3.16961936e-05  	2.04611253e-05	2.75141015e-20
3.222160749e-05 	2.05080641e-05	3.16628613e-20
3.274702139e-05 	2.05684448e-05	6.46122262e-20
3.327243528e-05 	2.06311519e-05	7.85101610e-20
3.38062558e-05  	2.06888292e-05	8.21382094e-20
3.432746638e-05 	2.07332932e-05	1.11997002e-19
3.484867697e-05 	2.08058755e-05	1.92882861e-19
3.536575096e-05 	2.08786225e-05	1.79749614e-19
3.588282495e-05 	2.09543022e-05	9.15417733e-20
3.639576235e-05 	2.10233765e-05	1.54976112e-19
3.690869975e-05 	2.11010356e-05	7.52706603e-20
3.742163715e-05 	2.11718386e-05	3.31942087e-20
3.793040433e-05 	2.12556361e-05	1.28399800e-19
3.843917151e-05 	2.13674273e-05	1.02114577e-19
3.89564894e-05  	2.13276624e-05	3.11279721e-20
3.946518532e-05 	2.11056643e-05	7.26748034e-20
3.997819222e-05 	2.11089136e-05	1.38864569e-20
4.049119913e-05 	2.11254507e-05	1.55780241e-20
4.100420603e-05 	2.11259057e-05	-2.42109771e-21
4.151721293e-05 	2.11113167e-05	2.82692254e-20
4.204408489e-05 	2.10864235e-05	-3.29867260e-20
4.255696909e-05 	2.11231293e-05	1.02318957e-20
